headword,pronunciation,Pron
bullidora,b u ʝ i ˈ ð o ɾ a,b u ʝ i ð O ɾ a
bullidora,b u ʎ i ˈ ð o ɾ a,b u ʎ i ð O ɾ a
bullidoras,b u ʝ i ˈ ð o ɾ a s,b u ʝ i ð O ɾ a s
bullidoras,b u ʎ i ˈ ð o ɾ a s,b u ʎ i ð O ɾ a s
bullidores,b u ʝ i ˈ ð o ɾ e s,b u ʝ i ð O ɾ e s
bullidores,b u ʎ i ˈ ð o ɾ e s,b u ʎ i ð O ɾ e s
bullosa,b u ˈ ʝ o s a,b u ʝ O s a
bullosa,b u ˈ ʎ o s a,b u ʎ O s a
bullosas,b u ˈ ʎ o s a s,b u ʎ O s a s
bullosas,b u ˈ ʝ o s a s,b u ʝ O s a s
bulloso,b u ˈ ʎ o s o,b u ʎ O s o
bulloso,b u ˈ ʝ o s o,b u ʝ O s o
bullosos,b u ˈ ʎ o s o s,b u ʎ O s o s
bullosos,b u ˈ ʝ o s o s,b u ʝ O s o s
bulto,ˈ b u l t o,b U l t o
bulín,b u ˈ l i n,b u l I n
bum,ˈ b u m,b U m
bungalow,b u ŋ g a ˈ l o w,b u ŋ g a l O w
buque,ˈ b u k e,b U k e
buques,ˈ b u k e s,b U k e s
burbuja,b u ɾ ˈ b u x a,b u ɾ b U x a
burbujas,b u ɾ ˈ b u x a s,b u ɾ b U x a s
burbujeando,b u ɾ β u x e ˈ a n̪ d o,b u ɾ β u x e A n̪ d o
burbujear,b u ɾ β u x e ˈ a ɾ,b u ɾ β u x e A ɾ
burdas,ˈ b u ɾ ð a s,b U ɾ ð a s
burdel,b u ɾ ˈ ð e l,b u ɾ ð E l
burdelesca,b u ɾ ð e ˈ l e s k a,b u ɾ ð e l E s k a
burdelescas,b u ɾ ð e ˈ l e s k a s,b u ɾ ð e l E s k a s
burdelesco,b u ɾ ð e ˈ l e s k o,b u ɾ ð e l E s k o
burdelescos,b u ɾ ð e ˈ l e s k o s,b u ɾ ð e l E s k o s
burdo,ˈ b u ɾ ð o,b U ɾ ð o
burdos,ˈ b u ɾ ð o s,b U ɾ ð o s
burel,b u ˈ ɾ e l,b u ɾ E l
burgalesa,b u ɾ ɣ a ˈ l e s a,b u ɾ ɣ a l E s a
burgalesas,b u ɾ ɣ a ˈ l e s a s,b u ɾ ɣ a l E s a s
burgaleses,b u ɾ ɣ a ˈ l e s e s,b u ɾ ɣ a l E s e s
burgrave,b u ɾ ˈ g ɾ a β e,b u ɾ g ɾ A β e
burgraviato,b u ɾ g ɾ a ˈ β j a t o,b u ɾ g ɾ a β j A t o
burguesía,b u ɾ ɰ e ˈ s i a,b u ɾ ɰ e s I a
buriel,b u ˈ ɾ j e l,b u ɾ j E l
burka,ˈ b u ɾ k a,b U ɾ k a
burkinesa,b u ɾ k i ˈ n e s a,b u ɾ k i n E s a
burkinesas,b u ɾ k i ˈ n e s a s,b u ɾ k i n E s a s
burkineses,b u ɾ k i ˈ n e s e s,b u ɾ k i n E s e s
burla,ˈ b u ɾ l a,b U ɾ l a
burlar,b u ɾ ˈ l a ɾ,b u ɾ l A ɾ
burlarme,,
burlas,ˈ b u ɾ l a s,b U ɾ l a s
burlona,b u ɾ ˈ l o n a,b u ɾ l O n a
burlonas,b u ɾ ˈ l o n a s,b u ɾ l O n a s
burloncísima,b u ɾ l o n̪ ˈ θ i s i m a,b u ɾ l o n̪ θ I s i m a
burloncísima,b u ɾ l o n ˈ s i s i m a,b u ɾ l o n s I s i m a
burloncísimas,b u ɾ l o n̪ ˈ θ i s i m a s,b u ɾ l o n̪ θ I s i m a s
burloncísimas,b u ɾ l o n ˈ s i s i m a s,b u ɾ l o n s I s i m a s
burloncísimo,b u ɾ l o n̪ ˈ θ i s i m o,b u ɾ l o n̪ θ I s i m o
burloncísimo,b u ɾ l o n ˈ s i s i m o,b u ɾ l o n s I s i m o
burloncísimos,b u ɾ l o n̪ ˈ θ i s i m o s,b u ɾ l o n̪ θ I s i m o s
burloncísimos,b u ɾ l o n ˈ s i s i m o s,b u ɾ l o n s I s i m o s
burlones,b u ɾ ˈ l o n e s,b u ɾ l O n e s
burlón,b u ɾ ˈ l o n,b u ɾ l O n
burocracia,b u ɾ o ˈ k ɾ a s j a,b u ɾ o k ɾ A s j a
burocracia,b u ɾ o ˈ k ɾ a θ j a,b u ɾ o k ɾ A θ j a
burocratizando,ˈ a n̪ d o,A n̪ d o
burocratizar,b u ɾ o k ɾ a t i ˈ s a ɾ,b u ɾ o k ɾ a t i s A ɾ
burocrático,b u ɾ o ˈ k r a t i k o,b u ɾ o k r A t i k o
burqa,ˈ b u ɾ k a,b U ɾ k a
burrada,b u ˈ r a ð a,b u r A ð a
burrito,b u ˈ r i t o,b u r I t o
burro,ˈ b u r o,b U r o
bursátil,b u r ˈ s a t i l,b u r s A t i l
bursátiles,b u r ˈ s a t i l e s,b u r s A t i l e s
burujo,β u ˈ ɾ u x o,β u ɾ U x o
burundesa,b u ɾ u n ˈ d e s a,b u ɾ u n d E s a
burundesas,b u ɾ u n ˈ d e s a s,b u ɾ u n d E s a s
burundeses,b u ɾ u n ˈ d e s e s,b u ɾ u n d E s e s
bus,ˈ b u s,b U s
buscadas,b u s ˈ k a ð a s,b u s k A ð a s
buscador,b u s k a ˈ ð o ɾ,b u s k a ð O ɾ
buscadora,b u s k a ˈ ð o ɾ a,b u s k a ð O ɾ a
buscadores,b u s k a ˈ ð o ɾ e s,b u s k a ð O ɾ e s
buscamiento,b u s k a ˈ m j e n t o,b u s k a m j E n t o
buscando,b u s ˈ k a n̪ d o,b u s k A n̪ d o
buscaniguas,b u s k a ˈ n i ɣ w a s,b u s k a n I ɣ w a s
buscapersonas,ˌ b u s k a p e ɾ ˈ s o n a s,ˌ b u s k a p e ɾ s O n a s
buscapique,b u s k a ˈ p i k e,b u s k a p I k e
buscapiques,b u s k a ˈ p i k e s,b u s k a p I k e s
buscapié,b u s k a ˈ p j e,b u s k a p j E
buscapleitos,b u s k a ˈ p l e j t o s,b u s k a p l E j t o s
buscar,b u s ˈ k a ɾ,b u s k A ɾ
buscarme,,
buscarruidos,b u s k a ˈ r w i ð o s,b u s k a r w I ð o s
buscarse,b u s ˈ k a ɾ s e,b u s k A ɾ s e
buscas,ˈ b u s k a s,b U s k a s
buscavida,b u s k a ˈ β i ð a,b u s k a β I ð a
buscio,ˈ b u s θ j o,b U s θ j o
buscio,ˈ b u s s j o,b U s s j o
busconas,b u s ˈ k o n a s,b u s k O n a s
buscones,b u s ˈ k o n e s,b u s k O n e s
buscos,ˈ b u s k o s,b U s k o s
buscándose,b u s ˈ k a n̪ d o s e,b u s k A n̪ d o s e
buscársela,b u s ˈ k a ɾ s e l a,b u s k A ɾ s e l a
buscárselas,b u s ˈ k a ɾ s e l a s,b u s k A ɾ s e l a s
buscón,b u s ˈ k o n,b u s k O n
buselino,b u s e ˈ l i n o,b u s e l I n o
busera,b u ˈ s e ɾ a,b u s E ɾ a
buseras,b u ˈ s e ɾ a s,b u s E ɾ a s
busero,b u ˈ s e ɾ o,b u s E ɾ o
buseros,b u ˈ s e ɾ o s,b u s E ɾ o s
buseta,b u ˈ s e t a,b u s E t a
busetas,b u ˈ s e t a s,b u s E t a s
busilis,b u ˈ s i l i s,b u s I l i s
busingote,b u s i ŋ ˈ g o t e,b u s i ŋ g O t e
busnó,b u s ˈ n o,b u s n O
buso,ˈ b u s o,b U s o
buspijirí,b u s p i x i ˈ ɾ i,b u s p i x i ɾ I
busque,ˈ b u s k e,b U s k e
busquillo,b u s ˈ k i ʎ o,b u s k I ʎ o
busquillo,b u s ˈ k i ʝ o,b u s k I ʝ o
busqué,b u s ˈ k e,b u s k E
bustaliza,b u s t a ˈ l i θ a,b u s t a l I θ a
bustaliza,b u s t a ˈ l i s a,b u s t a l I s a
bustamita,b u s t a ˈ m i t a,b u s t a m I t a
bustillo,b u s ˈ t i ʎ o,b u s t I ʎ o
bustillo,b u s ˈ t i ʝ o,b u s t I ʝ o
busto,ˈ b u s t o,b U s t o
bustronel,b u s t ɾ o ˈ n e l,b u s t ɾ o n E l
bustrófedo,b u s ˈ t ɾ o f e ð o,b u s t ɾ O f e ð o
bustrófedon,b u s ˈ t ɾ o f e ð o n,b u s t ɾ O f e ð o n
bustuario,b u s ˈ t w a ɾ j o,b u s t w A ɾ j o
but,ˈ b u t,b U t
butanesa,b u t a ˈ n e s a,b u t a n E s a
butanesas,b u t a ˈ n e s a s,b u t a n E s a s
butaneses,b u t a ˈ n e s e s,b u t a n E s e s
butanés,b u t a ˈ n e s,b u t a n E s
butilo,b u ˈ t i l o,b u t I l o
buz,ˈ b u s,b U s
buz,ˈ b u θ,b U θ
buzando,ˈ a n̪ d o,A n̪ d o
buzar,b u ˈ s a r,b u s A r
buzarda,b u ˈ θ a ɾ ð a,b u θ A ɾ ð a
buzarda,b u ˈ s a ɾ ð a,b u s A ɾ ð a
buzones,b u ˈ θ o n e s,b u θ O n e s
buzones,b u ˈ s o n e s,b u s O n e s
buzos,ˈ b u s o s,b U s o s
buzos,ˈ b u θ o s,b U θ o s
buzón,b u ˈ θ o n,b u θ O n
buzón,b u ˈ s o n,b u s O n
bypass,b a j p a s,b a j p a s
byte,ˈ b a i̯ t,b A i̯ t
bádminton,ˈ b a d m i n t o n,b A d m i n t o n
bálsamo,ˈ b a l s a m o,b A l s a m o
báltico,ˈ b a l t i k o,b A l t i k o
básculas,ˈ b a s k u l a s,b A s k u l a s
básica,ˈ b a s i k a,b A s i k a
básicamente,ˈ b a s i k a ˈ m e n t e,b A s i k a m E n t e
básicas,ˈ b a s i k a s,b A s i k a s
básico,ˈ b a s i k o,b A s i k o
básicos,ˈ b a s i k o s,b A s i k o s
básquetbol,ˈ b a s k e t β o l,b A s k e t β o l
bástago,ˈ b a s t a ɰ o,b A s t a ɰ o
bávaras,ˈ b a b a ɾ a s,b A b a ɾ a s
bávaro,ˈ b a β a ɾ o,b A β a ɾ o
bélica,ˈ b e l i k a,b E l i k a
bélicas,ˈ b e l i k a s,b E l i k a s
bélico,ˈ b e l i k o,b E l i k o
bélicos,ˈ b e l i k o s,b E l i k o s
bíblico,ˈ b i β l i k o,b I β l i k o
bífero,ˈ b i f e ɾ o,b I f e ɾ o
bífido,ˈ b i f i ð o,b I f i ð o
bípedo,ˈ b i p e ð o,b I p e ð o
bóer,ˈ b o e ɾ,b O e ɾ
bóeres,ˈ b o e ɾ e s,b O e ɾ e s
bólido,ˈ b o l i ð o,b O l i ð o
bórax,ˈ b o ɾ a k s,b O ɾ a k s
bóveda,ˈ b o β e ð a,b O β e ð a
bóvedas,ˈ b o β e ð a s,b O β e ð a s
bóvido,ˈ b o β i ð o s,b O β i ð o s
bóxer,ˈ b o k s e ɾ,b O k s e ɾ
bóxeres,ˈ b o k s e ɾ e s,b O k s e ɾ e s
búcaro,ˈ b u k a ɾ o,b U k a ɾ o
búho,ˈ b u o,b U o
búlgaro,ˈ b u l g a ɾ o,b U l g a ɾ o
búscalo,ˈ b u s k a l o,b U s k a l o
búsqueda,ˈ b u s k e ð a,b U s k e ð a
búsquedas,ˈ b u s k e ð a s,b U s k e ð a s
c,s e,s e
c,θ e,θ e
ca,ˈ k a,k A
cab,ˈ k a b,k A b
cabal,k a β a l,k a β a l
cabalgando,k a β a l ˈ ɣ a n̪ d o,k a β a l ɣ A n̪ d o
cabalgar,k a ˈ β a l g a ɾ,k a β A l g a ɾ
cabalico,k a β a ˈ l i k o,k a β a l I k o
cabalista,k a β a ˈ l i s t a,k a β a l I s t a
cabalistas,k a β a ˈ l i s t a s,k a β a l I s t a s
cabalizando,ˈ a n̪ d o,A n̪ d o
caballar,k a β a ˈ ʎ u n o,k a β a ʎ U n o
caballerango,k a β a ʎ e ˈ ɾ a ŋ g o,k a β a ʎ e ɾ A ŋ g o
caballerango,k a β a ʝ e ˈ ɾ a ŋ g o,k a β a ʝ e ɾ A ŋ g o
caballerato,k a β a ʎ e ˈ ɾ a t o,k a β a ʎ e ɾ A t o
caballereando,ˈ a n̪ d o,A n̪ d o
caballerear,k a β a ʎ e ɾ e ˈ a ɾ,k a β a ʎ e ɾ e A ɾ
caballeresca,k a β a ʎ e ˈ ɾ e s k a,k a β a ʎ e ɾ E s k a
caballerescamente,k a β a ʎ e ˌ ɾ e s k a ˈ m e n t e,k a β a ʎ e ˌ ɾ e s k a m E n t e
caballerescas,k a β a ʎ e ˈ ɾ e s k a s,k a β a ʎ e ɾ E s k a s
caballeresco,k a β a ʎ e ˈ ɾ e s k o,k a β a ʎ e ɾ E s k o
caballeresco,k a β a ʝ e ˈ ɾ e s k o,k a β a ʝ e ɾ E s k o
caballerescos,k a β a ʎ e ˈ ɾ e s k o s,k a β a ʎ e ɾ E s k o s
caballerete,k a β a ʎ e ˈ ɾ e t e,k a β a ʎ e ɾ E t e
caballerismo,k a β a ʎ e ˈ ɾ i s m o,k a β a ʎ e ɾ I s m o
caballero,k a β a ˈ ʎ e ɾ o,k a β a ʎ E ɾ o
caballero,k a β a ˈ ʝ e ɾ o,k a β a ʝ E ɾ o
caballerosamente,k a β a ʎ e ˌ ɾ o s a ˈ m e n t e,k a β a ʎ e ˌ ɾ o s a m E n t e
caballerosidad,k a β a ʎ e ɾ o s i ˈ ð a ð,k a β a ʎ e ɾ o s i ð A ð
caballeroso,k a β a ʎ e ˈ ɾ o s o,k a β a ʎ e ɾ O s o
caballerote,k a β a ʎ e ˈ ɾ o t e,k a β a ʎ e ɾ O t e
caballería,k a β a ʎ e ˈ ɾ i a,k a β a ʎ e ɾ I a
caballería,k a β a ʝ e ˈ ɾ i a,k a β a ʝ e ɾ I a
caballo,k a ˈ β a ʎ o,k a β A ʎ o
caballo,k a ˈ β a ʝ o,k a β A ʝ o
caballos,k a ˈ β a ʎ o s,k a β A ʎ o s
caballunas,k a β a ˈ ʎ u n a s,k a β a ʎ U n a s
caballunas,k a β a ˈ ʝ u n a s,k a β a ʝ U n a s
caballuno,k a β a ˈ ʝ u n o,k a β a ʝ U n o
caballuno,k a β a ˈ ʎ u n o,k a β a ʎ U n o
cabanga,k a ˈ β a ŋ g a,k a β A ŋ g a
cabaret,k a ˈ β a ɾ e t,k a β A ɾ e t
cabarulo,k a β a ˈ ɾ u l o,k a β a ɾ U l o
cabarute,k a β a ˈ ɾ u t e,k a β a ɾ U t e
cabaré,k a ˈ β a ɾ e t,k a β A ɾ e t
cabaña,k a ˈ β a ɲ a,k a β A ɲ a
cabañal,k a β a ˈ ɲ a l,k a β a ɲ A l
cabañas,k a ˈ β a ɲ a s,k a β A ɲ a s
cabañera,k a β a ˈ ɲ e ɾ a,k a β a ɲ E ɾ a
cabañero,k a β a ˈ ɲ e ɾ o,k a β a ɲ E ɾ o
cabañería,k a β a ɲ e ˈ ɾ i a,k a β a ɲ e ɾ I a
cabañuela,k a β a ˈ ɲ w e l a,k a β a ɲ w E l a
cabeceando,ˈ a n̪ d o,A n̪ d o
cabecear,k a β e θ e ˈ a ɾ,k a β e θ e A ɾ
cabecear,k a β e s e ˈ a ɾ,k a β e s e A ɾ
cabeceo,k a β e ˈ θ e o,k a β e θ E o
cabecero,k a β e ˈ θ e ɾ o,k a β e θ E ɾ o
cabecero,k a β e ˈ s e ɾ o,k a β e s E ɾ o
cabeceros,k a β e ˈ s e r o s,k a β e s E r o s
cabeceros,k a β e ˈ θ e r o s,k a β e θ E r o s
cabeciancho,k a β e ˈ s j a n̪ t ʃ o,k a β e s j A n̪ t ʃ o
cabeciancho,k a β e ˈ θ j a n̪ t ʃ o,k a β e θ j A n̪ t ʃ o
cabecidura,k a β e s i ˈ ð u ɾ a,k a β e s i ð U ɾ a
cabecidura,k a β e θ i ˈ ð u ɾ a,k a β e θ i ð U ɾ a
cabeciduras,k a β e s i ˈ ð u ɾ a s,k a β e s i ð U ɾ a s
cabeciduras,k a β e θ i ˈ ð u ɾ a s,k a β e θ i ð U ɾ a s
cabeciduro,k a β e θ i ˈ ð u ɾ o,k a β e θ i ð U ɾ o
cabeciduro,k a β e s i ˈ ð u ɾ o,k a β e s i ð U ɾ o
cabeciduros,k a β e s i ˈ ð u ɾ o s,k a β e s i ð U ɾ o s
cabeciduros,k a β e θ i ˈ ð u ɾ o s,k a β e θ i ð U ɾ o s
cabellera,k a β e ˈ ʎ e ɾ a,k a β e ʎ E ɾ a
cabello,k a ˈ β e ʝ o,k a β E ʝ o
cabello,k a ˈ β e ʎ o,k a β E ʎ o
cabelludo,k a β e ˈ ʝ u ð o,k a β e ʝ U ð o
cabelludo,k a β e ˈ ʎ u ð o,k a β e ʎ U ð o
caber,k a ˈ β e ɾ,k a β E ɾ
cabestro,k a ˈ β e s t ɾ o,k a β E s t ɾ o
cabeza,k a ˈ β e s a,k a β E s a
cabeza,k a ˈ β e θ a,k a β E θ a
cabezada,k a b e ˈ s a ð a,k a b e s A ð a
cabezadura,k a β e s a ˈ ð u ɾ a,k a β e s a ð U ɾ a
cabezadura,k a β e θ a ˈ ð u ɾ a,k a β e θ a ð U ɾ a
cabezaduras,k a β e s a ˈ ð u ɾ a s,k a β e s a ð U ɾ a s
cabezaduras,k a β e θ a ˈ ð u ɾ a s,k a β e θ a ð U ɾ a s
cabezaje,k a β e ˈ s a x e,k a β e s A x e
cabezaje,k a β e ˈ θ a x e,k a β e θ A x e
cabezas,k a ˈ β e θ a s,k a β E θ a s
cabezas,k a ˈ β e s a s,k a β E s a s
cabezazo,k a β e ˈ s a s o,k a β e s A s o
cabezazo,k a β e ˈ θ a θ o,k a β e θ A θ o
cabezo,k a ˈ β e θ o,k a β E θ o
cabezo,k a ˈ β e s o,k a β E s o
cabezón,k a β e ˈ s o n,k a β e s O n
cabezón,k a β e ˈ θ o n,k a β e θ O n
cabila,k a ˈ β i l a,k a β I l a
cabildante,k a β i l ˈ d a n̪ t e,k a β i l d A n̪ t e
cabildantes,k a β i l ˈ d a n̪ t e s,k a β i l d A n̪ t e s
cabildo,k a ˈ β i l d o,k a β I l d o
cabilio,k a ˈ β i l j o,k a β I l j o
cabilla,k a ˈ β i ʎ a,k a β I ʎ a
cabilla,k a ˈ β i ʝ a,k a β I ʝ a
cabillar,k a β i ˈ ʎ a ɾ,k a β i ʎ A ɾ
cabillar,k a β i ˈ ʝ a ɾ,k a β i ʝ A ɾ
cabillero,k a β i ˈ ʝ e ɾ o,k a β i ʝ E ɾ o
cabillero,k a β i ˈ ʎ e ɾ o,k a β i ʎ E ɾ o
cabillería,k a β i ʝ e ˈ ɾ i a,k a β i ʝ e ɾ I a
cabillería,k a β i ʎ e ˈ ɾ i a,k a β i ʎ e ɾ I a
cabillo,k a ˈ β i ʎ o,k a β I ʎ o
cabillo,k a ˈ β i ʝ o,k a β I ʝ o
cabillón,k a β i ˈ ʝ o n,k a β i ʝ O n
cabillón,k a β i ˈ ʎ o n,k a β i ʎ O n
cabizbajarse,ˌ k a β i θ β a ˈ x a ɾ s e,ˌ k a β i θ β a x A ɾ s e
cabizbajarse,ˌ k a β i s β a ˈ x a ɾ s e,ˌ k a β i s β a x A ɾ s e
cabizbajo,ˌ k a β i θ ˈ β a x o,ˌ k a β i θ β A x o
cabizbajo,ˌ k a β i s ˈ β a x o,ˌ k a β i s β A x o
cabizcaído,ˌ k a β i s k a ˈ i ð o,ˌ k a β i s k a I ð o
cabizcaído,ˌ k a β i θ k a ˈ i ð o,ˌ k a β i θ k a I ð o
cabizcubierto,ˌ k a β i s k u ˈ β j e ɾ t o,ˌ k a β i s k u β j E ɾ t o
cabizcubierto,ˌ k a β i θ k u ˈ β j e ɾ t o,ˌ k a β i θ k u β j E ɾ t o
cable,ˈ k a b l e,k A b l e
cable,ˈ k a β l e,k A β l e
cableando,ˈ a n̪ d o,A n̪ d o
cablear,k a b l e ˈ a ɾ,k a b l e A ɾ
cablegrafiar,k a β l e ɣ ɾ a ˈ f j a ɾ,k a β l e ɣ ɾ a f j A ɾ
cablegrama,k a b l e ˈ g ɾ a m a,k a b l e g ɾ A m a
cablegramas,k a b l e ˈ ɣ ɾ a m a s,k a b l e ɣ ɾ A m a s
cablegráfico,k a β l e ˈ ɣ ɾ a f i k o,k a β l e ɣ ɾ A f i k o
cablero,k a ˈ β l e ɾ o,k a β l E ɾ o
cables,ˈ k a β l e s,k A β l e s
cabo,ˈ k a β o,k A β o
cabotaje,k a β o ˈ t a x e,k a β o t A x e
caboverdiana,k a β o β e ɾ ˈ ð j a n a,k a β o β e ɾ ð j A n a
caboverdianas,k a β o β e ɾ ˈ ð j a n a s,k a β o β e ɾ ð j A n a s
caboverdiano,ˌ k a β o β e ɾ ˈ ð j a n o,ˌ k a β o β e ɾ ð j A n o
cabra,ˈ k a β ɾ a,k A β ɾ a
cabras,ˈ k a β ɾ a s,k A β ɾ a s
cabreada,k a β ɾ e ˈ a ð a,k a β ɾ e A ð a
cabreadas,k a β ɾ e ˈ a ð a s,k a β ɾ e A ð a s
cabreados,k a β ɾ e ˈ a ð o s,k a β ɾ e A ð o s
cabreadísima,k a β ɾ e a ˈ ð i s i m a,k a β ɾ e a ð I s i m a
cabreadísimas,k a β ɾ e a ˈ ð i s i m a s,k a β ɾ e a ð I s i m a s
cabreadísimo,k a β ɾ e a ˈ ð i s i m o,k a β ɾ e a ð I s i m o
cabreadísimos,k a β ɾ e a ˈ ð i s i m o s,k a β ɾ e a ð I s i m o s
cabreando,ˈ a n̪ d o,A n̪ d o
cabrear,k a β ɾ e ˈ a ɾ,k a β ɾ e A ɾ
cabrearse,k a β ɾ e ˈ a ɾ s e,k a β ɾ e A ɾ s e
cabreo,k a ˈ β ɾ e o,k a β ɾ E o
cabreras,k a ˈ β ɾ e ɾ a s,k a β ɾ E ɾ a s
cabrero,k a ˈ β ɾ e ɾ o,k a β ɾ E ɾ o
cabrestante,k a β ɾ e s ˈ t a n t e,k a β ɾ e s t A n t e
cabria,ˈ k a β ɾ j a,k A β ɾ j a
cabrillas,k a ˈ β ɾ i ʎ a s,k a β ɾ I ʎ a s
cabrillas,k a ˈ β ɾ i ʝ a s,k a β ɾ I ʝ a s
cabrilleando,ˈ a n̪ d o,A n̪ d o
cabrillear,k a β ɾ i ʝ e ˈ a ɾ,k a β ɾ i ʝ e A ɾ
cabrillear,k a β ɾ i ʎ e ˈ a ɾ,k a β ɾ i ʎ e A ɾ
cabrilleo,k a β ɾ i ˈ ʝ e o,k a β ɾ i ʝ E o
cabrilleo,k a β ɾ i ˈ ʎ e o,k a β ɾ i ʎ E o
cabrina,k a ˈ β ɾ i n a,k a β ɾ I n a
cabriola,k a ˈ β ɾ j o l a,k a β ɾ j O l a
cabriolet,ˈ k a b ɾ i o l e t,k A b ɾ i o l e t
cabrito,k a ˈ β ɾ i t o,k a β ɾ I t o
cabro,ˈ k a β ɾ o,k A β ɾ o
cabronada,k a β ɾ o ˈ n a ð a,k a β ɾ o n A ð a
cabronadas,k a β ɾ o ˈ n a ð a s,k a β ɾ o n A ð a s
cabronas,k a ˈ β ɾ o n a s,k a β ɾ O n a s
cabronazo,k a b ɾ o ˈ n a s o,k a b ɾ o n A s o
cabronazo,k a b ɾ o ˈ n a θ o,k a b ɾ o n A θ o
cabroncísima,k a β ɾ o n̪ ˈ θ i s i m a,k a β ɾ o n̪ θ I s i m a
cabroncísima,k a β ɾ o n ˈ s i s i m a,k a β ɾ o n s I s i m a
cabroncísimas,k a β ɾ o n̪ ˈ θ i s i m a s,k a β ɾ o n̪ θ I s i m a s
cabroncísimas,k a β ɾ o n ˈ s i s i m a s,k a β ɾ o n s I s i m a s
cabroncísimo,k a β ɾ o n̪ ˈ θ i s i m o,k a β ɾ o n̪ θ I s i m o
cabroncísimo,k a β ɾ o n ˈ s i s i m o,k a β ɾ o n s I s i m o
cabroncísimos,k a β ɾ o n̪ ˈ θ i s i m o s,k a β ɾ o n̪ θ I s i m o s
cabroncísimos,k a β ɾ o n ˈ s i s i m o s,k a β ɾ o n s I s i m o s
cabruñad,k a β ɾ u ˈ ɲ a ð,k a β ɾ u ɲ A ð
cabujones,k a β u ˈ x o n e s,k a β u x O n e s
cabulero,k a β u ˈ l e ɾ o,k a β u l E ɾ o
cabulla,k a ˈ β u ʎ a,k a β U ʎ a
cabulla,k a ˈ β u ʝ a,k a β U ʝ a
cabullería,k a β u ʝ e ˈ ɾ i a,k a β u ʝ e ɾ I a
cabullería,k a β u ʎ e ˈ ɾ i a,k a β u ʎ e ɾ I a
caburé,k a β u ˈ ɾ e,k a β u ɾ E
cabuya,k a ˈ β u ʝ a,k a β U ʝ a
cabuyería,k a β u ʝ e ˈ ɾ i a,k a β u ʝ e ɾ I a
caca,ˈ k a k a,k A k a
cacahuate,k a k a ˈ w a t e,k a k a w A t e
cacahuete,k a k a ˈ w e t e,k a k a w E t e
cacao,k a ˈ k a o,k a k A o
cacareando,ˈ a n̪ d o,A n̪ d o
cacarear,k a k a ɾ e ˈ a ɾ,k a k a ɾ e A ɾ
cacareo,k a k a ˈ ɾ e o,k a k a ɾ E o
cacerola,k a θ e ˈ ɾ o l a,k a θ e ɾ O l a
cacerolas,k a θ e ˈ ɾ o l a s,k a θ e ɾ O l a s
cacerolas,k a s e ˈ ɾ o l a s,k a s e ɾ O l a s
cacería,k a s e ˈ ɾ i a,k a s e ɾ I a
cacería,k a θ e ˈ ɾ i a,k a θ e ɾ I a
cacha,ˈ k a t ʃ a,k A t ʃ a
cachabiello,k a t ʃ a ˈ β j e ʎ o,k a t ʃ a β j E ʎ o
cachabiello,k a t ʃ a ˈ β j e ʝ o,k a t ʃ a β j E ʝ o
cachabiellos,k a t ʃ a ˈ β j e ʎ o s,k a t ʃ a β j E ʎ o s
cachabiellos,k a t ʃ a ˈ β j e ʝ o s,k a t ʃ a β j E ʝ o s
cachaciento,k a t ʃ a ˈ θ j e n t o,k a t ʃ a θ j E n t o
cachaciento,k a t ʃ a ˈ s j e n t,k a t ʃ a s j E n t
cachafaz,k a t ʃ a ˈ f a s,k a t ʃ a f A s
cachalote,k a ʈ ʃ a ˈ l o t e,k a ʈ ʃ a l O t e
cachanchán,k a t ʃ a ɲ ˈ t ʃ a n,k a t ʃ a ɲ t ʃ A n
cachando,ˈ a n̪ d o,A n̪ d o
cachanilla,k a t ʃ a ˈ n i ʎ a,k a t ʃ a n I ʎ a
cachapé,k a t ʃ a ˈ p e,k a t ʃ a p E
cachar,k a ˈ t ʃ a ɾ,k a t ʃ A ɾ
cacharrito,k a t ʃ a ˈ r i t o,k a t ʃ a r I t o
cacharro,k a ˈ t ʃ a r o,k a t ʃ A r o
cacharros,k a ˈ t ʃ a r o,k a t ʃ A r o
cachay,k a ˈ t ʃ a j,k a t ʃ A j
cachaña,k a ˈ t ʃ a ɲ a,k a t ʃ A ɲ a
cacheando,ˈ a n̪ d o,A n̪ d o
cachear,k a t ʃ e ˈ a ɾ,k a t ʃ e A ɾ
cacheos,k a ˈ t ʃ e o s,k a t ʃ E o s
cachero,k a ˈ t ʃ e ɾ o,k a t ʃ E ɾ o
cachetada,k a ʈ ʃ e ˈ t a ð a,k a ʈ ʃ e t A ð a
cachimba,k a ˈ t ʃ i m b a,k a t ʃ I m b a
cachimbo,k a ˈ t ʃ i m b o,k a t ʃ I m b o
cachirulo,k a t͡ ʃ i ˈ ɾ u l o,k a t͡ ʃ i ɾ U l o
cachivache,k a t ʃ i ˈ β a t ʃ e,k a t ʃ i β A t ʃ e
cacho,ˈ k a t ʃ o,k A t ʃ o
cachucha,k a ˈ t ʃ u t ʃ a,k a t ʃ U t ʃ a
cachudo,k a ˈ t ʃ u ð o,k a t ʃ U ð o
cachureando,ˈ a n̪ d o,A n̪ d o
cachurear,ˌ k a t ʃ u ɾ e ˈ a ɾ,ˌ k a t ʃ u ɾ e A ɾ
cachureo,k a t ʃ u ˈ ɾ e o,k a t ʃ u ɾ E o
